Sentence ID,Sentence,Conc.MEDIAN,Conc.MEAN,Conc.SD,# Words Found,Percentage,Found Words,All Words
27,"""This is just oxygen,"" a voice said as a hard rubber mask came down on my face.",3.945,3.9425,0.9438939105035662,8 out of 8,100.0%,"[('oxygen', 3.66), ('voice', 4.13), ('say', 2.58), ('hard', 3.76), ('rubber', 4.86), ('mask', 4.96), ('come', 2.72), ('face', 4.87)]","['oxygen', 'voice', 'say', 'hard', 'rubber', 'mask', 'come', 'face']"
28,"I remember being surprised at how hard and narrow it was, not at all like the wide, pliable oxygen masks we wore in the cockpits of B-24s in World War II.",3.61,3.4976923076923074,0.8085805860287298,13 out of 14,92.8571428571%,"[('remember', 2.41), ('surprise', 3.24), ('hard', 3.76), ('narrow', 3.04), ('like', 1.89), ('wide', 3.06), ('pliable', 3.58), ('oxygen', 3.66), ('mask', 4.96), ('wear', 3.61), ('cockpit', 4.27), ('world', 4.36), ('war', 3.63)]","['remember', 'surprise', 'hard', 'narrow', 'like', 'wide', 'pliable', 'oxygen', 'mask', 'wear', 'cockpit', 'world', 'war', 'ii']"
29,I couldn't see how this rigid mask could work without leaking.,3.335,3.0275,1.3198349463907544,8 out of 8,100.0%,"[('could', 1.34), ('see', 3.21), ('rigid', 3.46), ('mask', 4.96), ('could', 1.34), ('work', 3.48), ('without', 2.15), ('leak', 4.28)]","['could', 'see', 'rigid', 'mask', 'could', 'work', 'without', 'leak']"
30,"""You'll feel sleepy in a minute,"" the voice said.",2.77,2.96,0.7103168307171103,5 out of 5,100.0%,"[('feel', 2.28), ('sleepy', 2.77), ('minute', 3.04), ('voice', 4.13), ('say', 2.58)]","['feel', 'sleepy', 'minute', 'voice', 'say']"
31,But I didn't feel sleepy.,2.525,2.525,0.34648232278140845,2 out of 2,100.0%,"[('feel', 2.28), ('sleepy', 2.77)]","['feel', 'sleepy']"
32,Crews on edge.,4.300000000000001,4.300000000000001,0.08485281374238578,2 out of 2,100.0%,"[('crew', 4.36), ('edge', 4.24)]","['crew', 'edge']"
33,"It was December 29, 1944.",3.0,3.0,N/A,1 out of 1,100.0%,"[('december', 3.0)]",['december']
34,"Cold, dreary, foggy England.",3.8,3.3266666666666667,0.8635006272918007,3 out of 4,75.0%,"[('cold', 3.85), ('dreary', 2.33), ('foggy', 3.8)]","['cold', 'dreary', 'foggy', 'england']"
35,"Rackheath Air Base was on the edge of Norwich, in East Anglia, the round bulge on the map facing Europe a hundred miles north of London.",3.92,3.985454545454546,0.5867940633026826,11 out of 16,68.75%,"[('air', 4.11), ('base', 3.86), ('edge', 4.24), ('east', 3.04), ('round', 3.9), ('bulge', 3.92), ('map', 4.93), ('face', 4.87), ('hundred', 3.2), ('mile', 3.63), ('north', 4.14)]","['rackheath', 'air', 'base', 'edge', 'norwich', 'east', 'anglia', 'round', 'bulge', 'map', 'face', 'europe', 'hundred', 'mile', 'north', 'london']"
36,Even we young pilots knew something was wrong.,2.31,2.658333333333333,1.154286215228557,6 out of 6,100.0%,"[('even', 2.79), ('young', 3.16), ('pilot', 4.67), ('know', 1.68), ('something', 1.82), ('wrong', 1.83)]","['even', 'young', 'pilot', 'know', 'something', 'wrong']"
37,"We didn't get very much direct news about the battles across the channel in Europe, but there was a different sense of urgency these days in flight orders coming down daily to the 467th Bomb Group from division headquarters.",3.07,3.1510526315789473,0.909510825400373,19 out of 20,95.0%,"[('get', 2.38), ('much', 1.69), ('direct', 2.15), ('news', 3.41), ('battle', 4.0), ('across', 3.07), ('channel', 4.18), ('different', 1.97), ('sense', 2.61), ('urgency', 2.03), ('day', 3.92), ('flight', 3.9), ('order', 2.79), ('come', 2.72), ('daily', 3.15), ('bomb', 4.84), ('group', 4.12), ('division', 2.8), ('headquarters', 4.14)]","['get', 'much', 'direct', 'news', 'battle', 'across', 'channel', 'europe', 'different', 'sense', 'urgency', 'day', 'flight', 'order', 'come', 'daily', 'bomb', 'group', 'division', 'headquarters']"
38,The Germans had suddenly counter-attacked.,1.84,1.84,N/A,1 out of 2,50.0%,"[('suddenly', 1.84)]","['german', 'suddenly']"
39,"The Battle of the Bulge was under way, with General Rommel's armored forces threatening not only to smash through to the Belgian coast and cut the allied forces in half, but to cut off their supply ports as well.",3.43,3.426470588235294,0.8283865430497301,17 out of 19,89.4736842105%,"[('battle', 4.0), ('bulge', 3.92), ('way', 2.34), ('general', 1.62), ('armored', 3.59), ('force', 3.0), ('threaten', 2.63), ('smash', 3.79), ('coast', 4.21), ('cut', 4.55), ('ally', 2.61), ('force', 3.0), ('half', 3.27), ('cut', 4.55), ('supply', 3.43), ('port', 4.41), ('well', 3.33)]","['battle', 'bulge', 'way', 'general', 'rommel', 'armored', 'force', 'threaten', 'smash', 'belgian', 'coast', 'cut', 'ally', 'force', 'half', 'cut', 'supply', 'port', 'well']"
40,What it meant for us air crews was that suddenly we were flying missions under weather conditions that would normally have kept us on the ground.,3.245,3.1142857142857143,1.1679944302140266,14 out of 14,100.0%,"[('mean', 2.5), ('us', 3.59), ('air', 4.11), ('crew', 4.36), ('suddenly', 1.84), ('fly', 4.64), ('mission', 2.9), ('weather', 3.83), ('condition', 2.15), ('would', 1.12), ('normally', 1.83), ('keep', 2.37), ('us', 3.59), ('ground', 4.77)]","['mean', 'us', 'air', 'crew', 'suddenly', 'fly', 'mission', 'weather', 'condition', 'would', 'normally', 'keep', 'us', 'ground']"
41,The effort to bomb the German supply lines became more important than the usual safety rules.,2.37,2.8466666666666667,1.1576268828944842,9 out of 10,90.0%,"[('effort', 2.33), ('bomb', 4.84), ('supply', 3.43), ('line', 4.5), ('become', 1.54), ('important', 2.14), ('usual', 1.9), ('safety', 2.37), ('rule', 2.57)]","['effort', 'bomb', 'german', 'supply', 'line', 'become', 'important', 'usual', 'safety', 'rule']"
42,"Getting a loaded B-24 into the air was a nerve-wracking experience any day, but a nightmare in bad weather.",3.05,2.9775,0.9525417126224522,8 out of 8,100.0%,"[('get', 2.38), ('loaded', 3.14), ('air', 4.11), ('experience', 1.8), ('day', 3.92), ('nightmare', 2.96), ('bad', 1.68), ('weather', 3.83)]","['get', 'loaded', 'air', 'experience', 'day', 'nightmare', 'bad', 'weather']"
43,"A red manufacturer's placard in the cockpit warned that the plane should never be flown at a weight greater than 44,000 pounds, or 22 tons.",4.205,3.814166666666667,1.0201199424428957,12 out of 12,100.0%,"[('red', 4.24), ('manufacturer', 3.69), ('placard', 4.46), ('cockpit', 4.27), ('warn', 2.89), ('plane', 4.92), ('never', 1.59), ('fly', 4.64), ('weight', 3.94), ('greater', 2.35), ('pound', 4.61), ('ton', 4.17)]","['red', 'manufacturer', 'placard', 'cockpit', 'warn', 'plane', 'never', 'fly', 'weight', 'greater', 'pound', 'ton']"
44,"With 2,700 gallons of high-octane fuel and 6,000 pounds of bombs, we flew every day with 33 tons.",4.234999999999999,4.085,0.8035279353309024,8 out of 8,100.0%,"[('gallon', 3.92), ('fuel', 4.3), ('pound', 4.61), ('bomb', 4.84), ('fly', 4.64), ('every', 2.28), ('day', 3.92), ('ton', 4.17)]","['gallon', 'fuel', 'pound', 'bomb', 'fly', 'every', 'day', 'ton']"
45,"I always felt that getting this ""flying boxcar"" off the ground was 95 percent of the mission.",2.9699999999999998,3.37125,1.2082388304588505,8 out of 8,100.0%,"[('always', 1.71), ('felt', 3.04), ('get', 2.38), ('fly', 4.64), ('boxcar', 4.83), ('ground', 4.77), ('percent', 2.7), ('mission', 2.9)]","['always', 'felt', 'get', 'fly', 'boxcar', 'ground', 'percent', 'mission']"
46,"We were to learn later that, in our group, six crews died from the weather or other kinds of accidents for every one that fell to enemy action.",3.165,3.1164285714285715,0.8140932392532211,14 out of 14,100.0%,"[('learn', 2.2), ('later', 1.8), ('group', 4.12), ('six', 3.43), ('crew', 4.36), ('die', 3.07), ('weather', 3.83), ('kind', 2.07), ('accident', 3.26), ('every', 2.28), ('one', 3.97), ('fell', 3.55), ('enemy', 2.83), ('action', 2.86)]","['learn', 'later', 'group', 'six', 'crew', 'die', 'weather', 'kind', 'accident', 'every', 'one', 'fell', 'enemy', 'action']"
47,An extremely dense fog seeped into everything on December 29.,3.04,3.0033333333333334,0.9609509179280006,6 out of 6,100.0%,"[('extremely', 1.84), ('dense', 3.14), ('fog', 4.66), ('seep', 3.08), ('everything', 2.3), ('december', 3.0)]","['extremely', 'dense', 'fog', 'seep', 'everything', 'december']"
48,Buildings 50 feet apart were invisible.,3.8949999999999996,3.88,1.041377293139555,4 out of 4,100.0%,"[('building', 4.64), ('foot', 4.9), ('apart', 3.15), ('invisible', 2.83)]","['building', 'foot', 'apart', 'invisible']"
49,"Yet the combat routine went on - the posting of crew names the night before, the 4 AM wake-up, the 5 AM breakfast before going to the briefing room.",3.585,3.5625,0.9895924321750758,12 out of 12,100.0%,"[('yet', 1.39), ('combat', 3.67), ('routine', 2.7), ('go', 3.15), ('post', 4.3), ('crew', 4.36), ('name', 3.5), ('night', 4.52), ('breakfast', 4.43), ('go', 3.15), ('briefing', 2.79), ('room', 4.79)]","['yet', 'combat', 'routine', 'go', 'post', 'crew', 'name', 'night', 'breakfast', 'go', 'briefing', 'room']"
50,Our crew of 10 was on the list.,4.395,4.395,0.049497474683057895,2 out of 2,100.0%,"[('crew', 4.36), ('list', 4.43)]","['crew', 'list']"
51,"All of us officers went to command briefing session, resentful of being up so early for nothing.",2.58,2.9055555555555554,0.8439358848738319,9 out of 9,100.0%,"[('us', 3.59), ('officer', 4.8), ('go', 3.15), ('command', 2.48), ('briefing', 2.79), ('session', 2.58), ('resentful', 2.3), ('early', 2.25), ('nothing', 2.21)]","['us', 'officer', 'go', 'command', 'briefing', 'session', 'resentful', 'early', 'nothing']"
52,It had happened before.,1.78,1.78,N/A,1 out of 1,100.0%,"[('happen', 1.78)]",['happen']
53,It was obvious we could not fly a B-24 in this fog when we could hardly see each other as we walked to the briefing hut.,3.0,3.039,1.4010349349280655,10 out of 10,100.0%,"[('obvious', 2.07), ('could', 1.34), ('fly', 4.64), ('fog', 4.66), ('could', 1.34), ('hardly', 1.62), ('see', 3.21), ('walk', 4.07), ('briefing', 2.79), ('hut', 4.65)]","['obvious', 'could', 'fly', 'fog', 'could', 'hardly', 'see', 'walk', 'briefing', 'hut']"
54,Yet the drill went on.,3.15,2.98,1.5121838512561891,3 out of 3,100.0%,"[('yet', 1.39), ('drill', 4.4), ('go', 3.15)]","['yet', 'drill', 'go']"
55,There was the repetitively melodramatic pulling away of a huge drape to show a map of Europe with our bombing route laid out in red tape.,3.93,3.727692307692308,0.9378624085844881,13 out of 14,92.8571428571%,"[('repetitively', 2.43), ('melodramatic', 2.08), ('pull', 3.97), ('away', 2.23), ('huge', 3.54), ('drape', 4.5), ('show', 3.97), ('map', 4.93), ('bombing', 3.93), ('route', 3.88), ('lay', 3.86), ('red', 4.24), ('tape', 4.9)]","['repetitively', 'melodramatic', 'pull', 'away', 'huge', 'drape', 'show', 'map', 'europe', 'bombing', 'route', 'lay', 'red', 'tape']"
56,Our target was a railroad marshaling yard behind the lines.,4.455,4.386666666666667,0.543310837980126,6 out of 6,100.0%,"[('target', 4.11), ('railroad', 5.0), ('marshal', 4.41), ('yard', 4.82), ('behind', 3.48), ('line', 4.5)]","['target', 'railroad', 'marshal', 'yard', 'behind', 'line']"
57,"We took navigation details, synchronized our watches, and went back out into the white darkness.",3.15,3.3855555555555554,0.8146488677815602,9 out of 9,100.0%,"[('take', 3.06), ('navigation', 2.35), ('detail', 2.5), ('synchronize', 2.73), ('watch', 4.61), ('go', 3.15), ('back', 4.33), ('white', 3.89), ('darkness', 3.85)]","['take', 'navigation', 'detail', 'synchronize', 'watch', 'go', 'back', 'white', 'darkness']"
58,Risky takeoff.,2.3600000000000003,2.3600000000000003,1.4849242404917498,2 out of 2,100.0%,"[('risky', 1.31), ('takeoff', 3.41)]","['risky', 'takeoff']"
59,"We could hardly believe that we were still going ahead, when we got off the truck at our plane and realized that we couldn't even see the end of the wing tip from the cockpit.",3.14,3.0823529411764703,1.2615592010076495,17 out of 17,100.0%,"[('could', 1.34), ('hardly', 1.62), ('believe', 1.55), ('still', 3.46), ('go', 3.15), ('ahead', 3.0), ('get', 2.38), ('truck', 4.84), ('plane', 4.92), ('realize', 2.03), ('could', 1.34), ('even', 2.79), ('see', 3.21), ('end', 3.14), ('wing', 4.86), ('tip', 4.5), ('cockpit', 4.27)]","['could', 'hardly', 'believe', 'still', 'go', 'ahead', 'get', 'truck', 'plane', 'realize', 'could', 'even', 'see', 'end', 'wing', 'tip', 'cockpit']"
60,"We knew the total wingspread was 110 feet, so one side of the wing was 55 feet.",3.97,3.8271428571428574,1.2299148247705922,7 out of 8,87.5%,"[('know', 1.68), ('total', 2.8), ('foot', 4.9), ('one', 3.97), ('side', 3.68), ('wing', 4.86), ('foot', 4.9)]","['know', 'total', 'wingspread', 'foot', 'one', 'side', 'wing', 'foot']"
61,"I was co-pilot; Russell ""Scotty"" Scott was the pilot.",4.67,4.67,N/A,1 out of 4,25.0%,"[('pilot', 4.67)]","['russell', 'scotty', 'scott', 'pilot']"
62,We looked at each other.,2.96,2.96,N/A,1 out of 1,100.0%,"[('look', 2.96)]",['look']
63,We both knew what that meant.,2.09,2.09,0.579827560572969,2 out of 2,100.0%,"[('know', 1.68), ('mean', 2.5)]","['know', 'mean']"
64,We had to reach 120 miles an hour to take off.,3.365,3.3725,0.3393498686213586,4 out of 4,100.0%,"[('reach', 3.7), ('mile', 3.63), ('hour', 3.1), ('take', 3.06)]","['reach', 'mile', 'hour', 'take']"
65,Every flight school instructor had drilled us to remember that 60 miles an hour equals 88 feet per second.,3.59,3.446923076923077,1.0081450343360376,13 out of 13,100.0%,"[('every', 2.28), ('flight', 3.9), ('school', 4.79), ('instructor', 4.26), ('drill', 4.4), ('us', 3.59), ('remember', 2.41), ('mile', 3.63), ('hour', 3.1), ('equal', 2.56), ('foot', 4.9), ('per', 1.69), ('second', 3.3)]","['every', 'flight', 'school', 'instructor', 'drill', 'us', 'remember', 'mile', 'hour', 'equal', 'foot', 'per', 'second']"
66,So we'd have to be going 176 feet per second to get this 30-odd tons of bombs and gasoline into the air.,4.11,3.6955555555555555,1.1409328541933472,9 out of 9,100.0%,"[('go', 3.15), ('foot', 4.9), ('per', 1.69), ('second', 3.3), ('get', 2.38), ('ton', 4.17), ('bomb', 4.84), ('gasoline', 4.72), ('air', 4.11)]","['go', 'foot', 'per', 'second', 'get', 'ton', 'bomb', 'gasoline', 'air']"
67,"If anything went wrong on takeoff when we could only see 40 feet ahead in the milky soup, we'd have less than a quarter of a second to react.",3.1799999999999997,3.1078571428571427,1.1111267917086454,14 out of 14,100.0%,"[('anything', 1.38), ('go', 3.15), ('wrong', 1.83), ('takeoff', 3.41), ('could', 1.34), ('see', 3.21), ('foot', 4.9), ('ahead', 3.0), ('milky', 3.52), ('soup', 4.72), ('less', 2.77), ('quarter', 4.43), ('second', 3.3), ('react', 2.55)]","['anything', 'go', 'wrong', 'takeoff', 'could', 'see', 'foot', 'ahead', 'milky', 'soup', 'less', 'quarter', 'second', 'react']"
68,"But we went ahead with the preflight checks, plugging in our electrically heating flying suits, checking the oxygen masks, running up each of the four engines in turn to make sure we could rely on it.",3.55,3.4995,1.106504572254924,20 out of 20,100.0%,"[('go', 3.15), ('ahead', 3.0), ('preflight', 2.31), ('check', 4.11), ('plug', 4.64), ('electrically', 3.0), ('heat', 3.79), ('fly', 4.64), ('suit', 4.97), ('check', 4.11), ('oxygen', 3.66), ('mask', 4.96), ('run', 4.31), ('four', 3.37), ('engine', 4.86), ('turn', 3.44), ('make', 2.67), ('sure', 1.73), ('could', 1.34), ('rely', 1.93)]","['go', 'ahead', 'preflight', 'check', 'plug', 'electrically', 'heat', 'fly', 'suit', 'check', 'oxygen', 'mask', 'run', 'four', 'engine', 'turn', 'make', 'sure', 'could', 'rely']"
69,"We were due to be the third ship to taxi out, one of three ""lead"" planes on which all the others would gather to make the giant box formations supposed to keep German fighters at bay.",3.79,3.585555555555556,1.1837041672460038,18 out of 20,90.0%,"[('due', 3.21), ('third', 3.44), ('ship', 4.87), ('taxi', 4.93), ('one', 3.97), ('three', 3.62), ('lead', 4.1), ('plane', 4.92), ('would', 1.12), ('gather', 2.75), ('make', 2.67), ('giant', 4.3), ('box', 4.9), ('formation', 3.23), ('suppose', 1.37), ('keep', 2.37), ('fighter', 3.96), ('bay', 4.81)]","['due', 'third', 'ship', 'taxi', 'one', 'three', 'lead', 'plane', 'others', 'would', 'gather', 'make', 'giant', 'box', 'formation', 'suppose', 'keep', 'german', 'fighter', 'bay']"
70,"Our jobs were to go off first, then circle high in the sky while the others moved into formation behind us.",3.355,3.5,0.5474993658037932,10 out of 11,90.9090909091%,"[('job', 3.19), ('go', 3.15), ('first', 2.76), ('circle', 4.44), ('high', 3.46), ('sky', 4.45), ('move', 3.25), ('formation', 3.23), ('behind', 3.48), ('us', 3.59)]","['job', 'go', 'first', 'circle', 'high', 'sky', 'others', 'move', 'formation', 'behind', 'us']"
71,"The first and second lead planes moved slowly past, and we very carefully pulled as close as we could behind the second plane.",3.275,3.2492857142857146,1.05255341019764,14 out of 14,100.0%,"[('first', 2.76), ('second', 3.3), ('lead', 4.1), ('plane', 4.92), ('move', 3.25), ('slowly', 3.1), ('past', 1.7), ('carefully', 2.15), ('pull', 3.97), ('close', 3.2), ('could', 1.34), ('behind', 3.48), ('second', 3.3), ('plane', 4.92)]","['first', 'second', 'lead', 'plane', 'move', 'slowly', 'past', 'carefully', 'pull', 'close', 'could', 'behind', 'second', 'plane']"
