Sentence ID,Sentence,Conc.MEDIAN,Conc.MEAN,Conc.SD,# Words Found,Found Words,All Words
11,I had plenty of time to think.,2.41,2.6233333333333335,0.38695391629150516,3 out of 3,"[(u'plenty', 2.39), (u'time', 3.07), (u'think', 2.41)]","[u'plenty', u'time', u'think']"
12,"I remembered the lucky accident that brought me to this rolling gurney so early on a Tuesday morning - the magnetic resonator imaging test that looked for a cause of hearing loss in my left ear, but found instead, a tumor nestled against the left side of my brain.",3.275,3.233846153846154,0.9246883882609402,26 out of 26,"[(u'remember', 2.41), (u'lucky', 1.76), (u'accident', 3.26), (u'bring', 2.55), (u'roll', 4.16), (u'gurney', 4.68), (u'early', 2.25), (u'tuesday', 3.29), (u'morning', 3.44), (u'magnetic', 3.4), (u'resonator', 2.55), (u'imaging', 2.79), (u'test', 3.93), (u'look', 2.96), (u'cause', 2.43), (u'hearing', 3.18), (u'loss', 2.19), (u'left', 3.7), (u'ear', 5.0), (u'find', 2.63), (u'instead', 1.48), (u'tumor', 4.56), (u'nestle', 3.41), (u'left', 3.7), (u'side', 3.68), (u'brain', 4.69)]","[u'remember', u'lucky', u'accident', u'bring', u'roll', u'gurney', u'early', u'tuesday', u'morning', u'magnetic', u'resonator', u'imaging', u'test', u'look', u'cause', u'hearing', u'loss', u'left', u'ear', u'find', u'instead', u'tumor', u'nestle', u'left', u'side', u'brain']"
13,"I looked it up in our family medical book, reading about paralysis, blindness, seizures, or worse.",3.56,3.4855555555555555,0.913825901240372,9 out of 9,"[(u'look', 2.96), (u'family', 4.23), (u'medical', 3.07), (u'book', 4.9), (u'read', 3.56), (u'paralysis', 3.52), (u'blindness', 3.73), (u'seizure', 3.79), (u'worse', 1.61)]","[u'look', u'family', u'medical', u'book', u'read', u'paralysis', u'blindness', u'seizure', u'worse']"
14,"I remembered the clear, calm voice of Dr John Wright explaining how he was going to cut a hole in my skull and take it out; I remembered, too, his calm recital of possible after-effects.",3.15,3.2953333333333332,1.0065206453539883,15 out of 17,"[(u'remember', 2.41), (u'clear', 3.55), (u'calm', 2.83), (u'voice', 4.13), (u'john', 3.48), (u'explain', 1.97), (u'go', 3.15), (u'cut', 4.55), (u'hole', 4.81), (u'skull', 4.83), (u'take', 3.06), (u'remember', 2.41), (u'calm', 2.83), (u'recital', 3.86), (u'possible', 1.56)]","[u'remember', u'clear', u'calm', u'voice', u'dr', u'john', u'wright', u'explain', u'go', u'cut', u'hole', u'skull', u'take', u'remember', u'calm', u'recital', u'possible']"
15,"I recalled Kathleen's marvelous calm as Christmas approached, as I frantically graded papers for 150 students at the university and tried to think of everything that needed doing before the operation.",2.74,3.0133333333333336,1.0584197565013518,15 out of 16,"[(u'recall', 2.14), (u'marvelous', 2.04), (u'calm', 2.83), (u'christmas', 3.41), (u'approach', 2.74), (u'frantically', 2.48), (u'grade', 3.0), (u'paper', 4.93), (u'student', 4.92), (u'university', 4.65), (u'try', 2.22), (u'think', 2.41), (u'everything', 2.3), (u'need', 1.69), (u'operation', 3.44)]","[u'recall', u'kathleen', u'marvelous', u'calm', u'christmas', u'approach', u'frantically', u'grade', u'paper', u'student', u'university', u'try', u'think', u'everything', u'need', u'operation']"
16,"I knew, though, that she was seething with worry.",2.035,1.955,0.6295236294214857,4 out of 4,"[(u'know', 1.68), (u'though', 1.2), (u'seethe', 2.39), (u'worry', 2.55)]","[u'know', u'though', u'seethe', u'worry']"
17,She did not even blanch when I arranged to have her signature added to the checking account for a small publishing business I ran outside of university time.,3.1500000000000004,3.4774999999999996,0.7106862880343197,12 out of 14,"[(u'even', 2.79), (u'arrange', 2.79), (u'signature', 4.43), (u'add', 3.0), (u'account', 3.08), (u'small', 3.22), (u'publishing', 2.86), (u'business', 3.28), (u'run', 4.31), (u'outside', 4.25), (u'university', 4.65), (u'time', 3.07)]","[u'even', u'blanch', u'arrange', u'signature', u'add', u'checking', u'account', u'small', u'publishing', u'business', u'run', u'outside', u'university', u'time']"
18,Just in case.,3.93,3.93,N/A,1 out of 1,"[(u'case', 3.93)]",[u'case']
19,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",3.665,3.28,1.0886076734373438,10 out of 13,"[(u'remember', 2.41), (u'christmas', 3.41), (u'day', 3.92), (u'daughter', 4.79), (u'son', 4.14), (u'wife', 4.13), (u'try', 2.22), (u'act', 2.46), (u'normal', 1.4), (u'day', 3.92)]","[u'remember', u'christmas', u'day', u'daughter', u'sheila', u'son', u'brian', u'wife', u'debbie', u'try', u'act', u'normal', u'day']"
20,I felt the gurney shoulder its way through the swinging doors behind me.,4.54,3.974285714285714,1.0180022452964292,7 out of 7,"[(u'felt', 3.04), (u'gurney', 4.68), (u'shoulder', 4.93), (u'way', 2.34), (u'swing', 4.54), (u'door', 4.81), (u'behind', 3.48)]","[u'felt', u'gurney', u'shoulder', u'way', u'swing', u'door', u'behind']"
21,The glare of the operating room surprised me.,3.645,3.83,0.6847383928674269,4 out of 4,"[(u'glare', 3.83), (u'operating', 3.46), (u'room', 4.79), (u'surprise', 3.24)]","[u'glare', u'operating', u'room', u'surprise']"
22,"So did the noise: chatter, clatter, rattle.",3.425,3.5275,0.3861239006674759,4 out of 4,"[(u'noise', 3.52), (u'chatter', 3.33), (u'clatter', 3.19), (u'rattle', 4.07)]","[u'noise', u'chatter', u'clatter', u'rattle']"
23,I saw Dr Wright over to the right looking at four bright pictures suspended on the wall.,3.6950000000000003,3.7875,0.7758635741638382,8 out of 10,"[(u'saw', 4.46), (u'right', 3.47), (u'look', 2.96), (u'four', 3.37), (u'bright', 3.92), (u'picture', 4.52), (u'suspend', 2.74), (u'wall', 4.86)]","[u'saw', u'dr', u'wright', u'right', u'look', u'four', u'bright', u'picture', u'suspend', u'wall']"
24,"I had seen them before: my own skull, with the bright, pear-shaped tumor standing out against the darker background of brain and bone.",4.359999999999999,4.19125,0.6760903891386968,8 out of 9,"[(u'see', 3.21), (u'skull', 4.83), (u'bright', 3.92), (u'tumor', 4.56), (u'stand', 4.16), (u'background', 3.26), (u'brain', 4.69), (u'bone', 4.9)]","[u'see', u'skull', u'bright', u'tumor', u'stand', u'darker', u'background', u'brain', u'bone']"
25,A clock on the wall said 10 minutes to 8 o'clock.,3.95,3.87,1.2396235987858035,4 out of 4,"[(u'clock', 5.0), (u'wall', 4.86), (u'say', 2.58), (u'minute', 3.04)]","[u'clock', u'wall', u'say', u'minute']"
26,A hand grabbed my chin.,4.72,4.376666666666666,0.7467485074195549,3 out of 3,"[(u'hand', 4.72), (u'grab', 3.52), (u'chin', 4.89)]","[u'hand', u'grab', u'chin']"
27,"""This is just oxygen,"" a voice said as a hard rubber mask came down on my face.",3.945,3.9425,0.9438939105035662,8 out of 8,"[(u'oxygen', 3.66), (u'voice', 4.13), (u'say', 2.58), (u'hard', 3.76), (u'rubber', 4.86), (u'mask', 4.96), (u'come', 2.72), (u'face', 4.87)]","[u'oxygen', u'voice', u'say', u'hard', u'rubber', u'mask', u'come', u'face']"
28,"I remember being surprised at how hard and narrow it was, not at all like the wide, pliable oxygen masks we wore in the cockpits of B-24s in World War II.",3.61,3.4976923076923074,0.8085805860287298,13 out of 14,"[(u'remember', 2.41), (u'surprise', 3.24), (u'hard', 3.76), (u'narrow', 3.04), (u'like', 1.89), (u'wide', 3.06), (u'pliable', 3.58), (u'oxygen', 3.66), (u'mask', 4.96), (u'wear', 3.61), (u'cockpit', 4.27), (u'world', 4.36), (u'war', 3.63)]","[u'remember', u'surprise', u'hard', u'narrow', u'like', u'wide', u'pliable', u'oxygen', u'mask', u'wear', u'cockpit', u'world', u'war', u'ii']"
29,I couldn't see how this rigid mask could work without leaking.,3.335,3.0275,1.3198349463907544,8 out of 8,"[(u'could', 1.34), (u'see', 3.21), (u'rigid', 3.46), (u'mask', 4.96), (u'could', 1.34), (u'work', 3.48), (u'without', 2.15), (u'leak', 4.28)]","[u'could', u'see', u'rigid', u'mask', u'could', u'work', u'without', u'leak']"
30,"""You'll feel sleepy in a minute,"" the voice said.",2.77,2.96,0.7103168307171103,5 out of 5,"[(u'feel', 2.28), (u'sleepy', 2.77), (u'minute', 3.04), (u'voice', 4.13), (u'say', 2.58)]","[u'feel', u'sleepy', u'minute', u'voice', u'say']"
31,But I didn't feel sleepy.,2.525,2.525,0.34648232278140845,2 out of 2,"[(u'feel', 2.28), (u'sleepy', 2.77)]","[u'feel', u'sleepy']"
32,Crews on edge.,4.300000000000001,4.300000000000001,0.08485281374238578,2 out of 2,"[(u'crew', 4.36), (u'edge', 4.24)]","[u'crew', u'edge']"
33,"It was December 29, 1944.",3.0,3.0,N/A,1 out of 1,"[(u'december', 3.0)]",[u'december']
34,"Cold, dreary, foggy England.",3.8,3.3266666666666667,0.8635006272918007,3 out of 4,"[(u'cold', 3.85), (u'dreary', 2.33), (u'foggy', 3.8)]","[u'cold', u'dreary', u'foggy', u'england']"
35,"Rackheath Air Base was on the edge of Norwich, in East Anglia, the round bulge on the map facing Europe a hundred miles north of London.",3.92,3.985454545454546,0.5867940633026826,11 out of 16,"[(u'air', 4.11), (u'base', 3.86), (u'edge', 4.24), (u'east', 3.04), (u'round', 3.9), (u'bulge', 3.92), (u'map', 4.93), (u'face', 4.87), (u'hundred', 3.2), (u'mile', 3.63), (u'north', 4.14)]","[u'rackheath', u'air', u'base', u'edge', u'norwich', u'east', u'anglia', u'round', u'bulge', u'map', u'face', u'europe', u'hundred', u'mile', u'north', u'london']"
36,Even we young pilots knew something was wrong.,2.31,2.658333333333333,1.154286215228557,6 out of 6,"[(u'even', 2.79), (u'young', 3.16), (u'pilot', 4.67), (u'know', 1.68), (u'something', 1.82), (u'wrong', 1.83)]","[u'even', u'young', u'pilot', u'know', u'something', u'wrong']"
37,"We didn't get very much direct news about the battles across the channel in Europe, but there was a different sense of urgency these days in flight orders coming down daily to the 467th Bomb Group from division headquarters.",3.07,3.1510526315789473,0.909510825400373,19 out of 20,"[(u'get', 2.38), (u'much', 1.69), (u'direct', 2.15), (u'news', 3.41), (u'battle', 4.0), (u'across', 3.07), (u'channel', 4.18), (u'different', 1.97), (u'sense', 2.61), (u'urgency', 2.03), (u'day', 3.92), (u'flight', 3.9), (u'order', 2.79), (u'come', 2.72), (u'daily', 3.15), (u'bomb', 4.84), (u'group', 4.12), (u'division', 2.8), (u'headquarters', 4.14)]","[u'get', u'much', u'direct', u'news', u'battle', u'across', u'channel', u'europe', u'different', u'sense', u'urgency', u'day', u'flight', u'order', u'come', u'daily', u'bomb', u'group', u'division', u'headquarters']"
38,The Germans had suddenly counter-attacked.,1.84,1.84,N/A,1 out of 2,"[(u'suddenly', 1.84)]","[u'german', u'suddenly']"
39,"The Battle of the Bulge was under way, with General Rommel's armored forces threatening not only to smash through to the Belgian coast and cut the allied forces in half, but to cut off their supply ports as well.",3.43,3.426470588235294,0.8283865430497301,17 out of 19,"[(u'battle', 4.0), (u'bulge', 3.92), (u'way', 2.34), (u'general', 1.62), (u'armored', 3.59), (u'force', 3.0), (u'threaten', 2.63), (u'smash', 3.79), (u'coast', 4.21), (u'cut', 4.55), (u'ally', 2.61), (u'force', 3.0), (u'half', 3.27), (u'cut', 4.55), (u'supply', 3.43), (u'port', 4.41), (u'well', 3.33)]","[u'battle', u'bulge', u'way', u'general', u'rommel', u'armored', u'force', u'threaten', u'smash', u'belgian', u'coast', u'cut', u'ally', u'force', u'half', u'cut', u'supply', u'port', u'well']"
40,What it meant for us air crews was that suddenly we were flying missions under weather conditions that would normally have kept us on the ground.,3.245,3.1142857142857143,1.1679944302140266,14 out of 14,"[(u'mean', 2.5), (u'us', 3.59), (u'air', 4.11), (u'crew', 4.36), (u'suddenly', 1.84), (u'fly', 4.64), (u'mission', 2.9), (u'weather', 3.83), (u'condition', 2.15), (u'would', 1.12), (u'normally', 1.83), (u'keep', 2.37), (u'us', 3.59), (u'ground', 4.77)]","[u'mean', u'us', u'air', u'crew', u'suddenly', u'fly', u'mission', u'weather', u'condition', u'would', u'normally', u'keep', u'us', u'ground']"
41,The effort to bomb the German supply lines became more important than the usual safety rules.,2.37,2.8466666666666667,1.1576268828944842,9 out of 10,"[(u'effort', 2.33), (u'bomb', 4.84), (u'supply', 3.43), (u'line', 4.5), (u'become', 1.54), (u'important', 2.14), (u'usual', 1.9), (u'safety', 2.37), (u'rule', 2.57)]","[u'effort', u'bomb', u'german', u'supply', u'line', u'become', u'important', u'usual', u'safety', u'rule']"
42,"Getting a loaded B-24 into the air was a nerve-wracking experience any day, but a nightmare in bad weather.",3.05,2.9775,0.9525417126224522,8 out of 8,"[(u'get', 2.38), (u'loaded', 3.14), (u'air', 4.11), (u'experience', 1.8), (u'day', 3.92), (u'nightmare', 2.96), (u'bad', 1.68), (u'weather', 3.83)]","[u'get', u'loaded', u'air', u'experience', u'day', u'nightmare', u'bad', u'weather']"
43,"A red manufacturer's placard in the cockpit warned that the plane should never be flown at a weight greater than 44,000 pounds, or 22 tons.",4.205,3.814166666666667,1.0201199424428957,12 out of 12,"[(u'red', 4.24), (u'manufacturer', 3.69), (u'placard', 4.46), (u'cockpit', 4.27), (u'warn', 2.89), (u'plane', 4.92), (u'never', 1.59), (u'fly', 4.64), (u'weight', 3.94), (u'greater', 2.35), (u'pound', 4.61), (u'ton', 4.17)]","[u'red', u'manufacturer', u'placard', u'cockpit', u'warn', u'plane', u'never', u'fly', u'weight', u'greater', u'pound', u'ton']"
44,"With 2,700 gallons of high-octane fuel and 6,000 pounds of bombs, we flew every day with 33 tons.",4.234999999999999,4.085,0.8035279353309024,8 out of 8,"[(u'gallon', 3.92), (u'fuel', 4.3), (u'pound', 4.61), (u'bomb', 4.84), (u'fly', 4.64), (u'every', 2.28), (u'day', 3.92), (u'ton', 4.17)]","[u'gallon', u'fuel', u'pound', u'bomb', u'fly', u'every', u'day', u'ton']"
45,"I always felt that getting this ""flying boxcar"" off the ground was 95 percent of the mission.",2.9699999999999998,3.37125,1.2082388304588505,8 out of 8,"[(u'always', 1.71), (u'felt', 3.04), (u'get', 2.38), (u'fly', 4.64), (u'boxcar', 4.83), (u'ground', 4.77), (u'percent', 2.7), (u'mission', 2.9)]","[u'always', u'felt', u'get', u'fly', u'boxcar', u'ground', u'percent', u'mission']"
46,"We were to learn later that, in our group, six crews died from the weather or other kinds of accidents for every one that fell to enemy action.",3.165,3.1164285714285715,0.8140932392532211,14 out of 14,"[(u'learn', 2.2), (u'later', 1.8), (u'group', 4.12), (u'six', 3.43), (u'crew', 4.36), (u'die', 3.07), (u'weather', 3.83), (u'kind', 2.07), (u'accident', 3.26), (u'every', 2.28), (u'one', 3.97), (u'fell', 3.55), (u'enemy', 2.83), (u'action', 2.86)]","[u'learn', u'later', u'group', u'six', u'crew', u'die', u'weather', u'kind', u'accident', u'every', u'one', u'fell', u'enemy', u'action']"
47,An extremely dense fog seeped into everything on December 29.,3.04,3.0033333333333334,0.9609509179280006,6 out of 6,"[(u'extremely', 1.84), (u'dense', 3.14), (u'fog', 4.66), (u'seep', 3.08), (u'everything', 2.3), (u'december', 3.0)]","[u'extremely', u'dense', u'fog', u'seep', u'everything', u'december']"
48,Buildings 50 feet apart were invisible.,3.8949999999999996,3.88,1.041377293139555,4 out of 4,"[(u'building', 4.64), (u'foot', 4.9), (u'apart', 3.15), (u'invisible', 2.83)]","[u'building', u'foot', u'apart', u'invisible']"
49,"Yet the combat routine went on - the posting of crew names the night before, the 4 AM wake-up, the 5 AM breakfast before going to the briefing room.",3.585,3.5625,0.9895924321750758,12 out of 12,"[(u'yet', 1.39), (u'combat', 3.67), (u'routine', 2.7), (u'go', 3.15), (u'post', 4.3), (u'crew', 4.36), (u'name', 3.5), (u'night', 4.52), (u'breakfast', 4.43), (u'go', 3.15), (u'briefing', 2.79), (u'room', 4.79)]","[u'yet', u'combat', u'routine', u'go', u'post', u'crew', u'name', u'night', u'breakfast', u'go', u'briefing', u'room']"
50,Our crew of 10 was on the list.,4.395,4.395,0.049497474683057895,2 out of 2,"[(u'crew', 4.36), (u'list', 4.43)]","[u'crew', u'list']"
51,"All of us officers went to command briefing session, resentful of being up so early for nothing.",2.58,2.9055555555555554,0.8439358848738319,9 out of 9,"[(u'us', 3.59), (u'officer', 4.8), (u'go', 3.15), (u'command', 2.48), (u'briefing', 2.79), (u'session', 2.58), (u'resentful', 2.3), (u'early', 2.25), (u'nothing', 2.21)]","[u'us', u'officer', u'go', u'command', u'briefing', u'session', u'resentful', u'early', u'nothing']"
52,It had happened before.,1.78,1.78,N/A,1 out of 1,"[(u'happen', 1.78)]",[u'happen']
53,It was obvious we could not fly a B-24 in this fog when we could hardly see each other as we walked to the briefing hut.,3.0,3.039,1.4010349349280655,10 out of 10,"[(u'obvious', 2.07), (u'could', 1.34), (u'fly', 4.64), (u'fog', 4.66), (u'could', 1.34), (u'hardly', 1.62), (u'see', 3.21), (u'walk', 4.07), (u'briefing', 2.79), (u'hut', 4.65)]","[u'obvious', u'could', u'fly', u'fog', u'could', u'hardly', u'see', u'walk', u'briefing', u'hut']"
54,Yet the drill went on.,3.15,2.98,1.5121838512561891,3 out of 3,"[(u'yet', 1.39), (u'drill', 4.4), (u'go', 3.15)]","[u'yet', u'drill', u'go']"
55,There was the repetitively melodramatic pulling away of a huge drape to show a map of Europe with our bombing route laid out in red tape.,3.93,3.727692307692308,0.9378624085844881,13 out of 14,"[(u'repetitively', 2.43), (u'melodramatic', 2.08), (u'pull', 3.97), (u'away', 2.23), (u'huge', 3.54), (u'drape', 4.5), (u'show', 3.97), (u'map', 4.93), (u'bombing', 3.93), (u'route', 3.88), (u'lay', 3.86), (u'red', 4.24), (u'tape', 4.9)]","[u'repetitively', u'melodramatic', u'pull', u'away', u'huge', u'drape', u'show', u'map', u'europe', u'bombing', u'route', u'lay', u'red', u'tape']"
56,Our target was a railroad marshaling yard behind the lines.,4.455,4.386666666666667,0.543310837980126,6 out of 6,"[(u'target', 4.11), (u'railroad', 5.0), (u'marshal', 4.41), (u'yard', 4.82), (u'behind', 3.48), (u'line', 4.5)]","[u'target', u'railroad', u'marshal', u'yard', u'behind', u'line']"
57,"We took navigation details, synchronized our watches, and went back out into the white darkness.",3.15,3.3855555555555554,0.8146488677815602,9 out of 9,"[(u'take', 3.06), (u'navigation', 2.35), (u'detail', 2.5), (u'synchronize', 2.73), (u'watch', 4.61), (u'go', 3.15), (u'back', 4.33), (u'white', 3.89), (u'darkness', 3.85)]","[u'take', u'navigation', u'detail', u'synchronize', u'watch', u'go', u'back', u'white', u'darkness']"
58,Risky takeoff.,2.3600000000000003,2.3600000000000003,1.4849242404917498,2 out of 2,"[(u'risky', 1.31), (u'takeoff', 3.41)]","[u'risky', u'takeoff']"
59,"We could hardly believe that we were still going ahead, when we got off the truck at our plane and realized that we couldn't even see the end of the wing tip from the cockpit.",3.14,3.0823529411764703,1.2615592010076495,17 out of 17,"[(u'could', 1.34), (u'hardly', 1.62), (u'believe', 1.55), (u'still', 3.46), (u'go', 3.15), (u'ahead', 3.0), (u'get', 2.38), (u'truck', 4.84), (u'plane', 4.92), (u'realize', 2.03), (u'could', 1.34), (u'even', 2.79), (u'see', 3.21), (u'end', 3.14), (u'wing', 4.86), (u'tip', 4.5), (u'cockpit', 4.27)]","[u'could', u'hardly', u'believe', u'still', u'go', u'ahead', u'get', u'truck', u'plane', u'realize', u'could', u'even', u'see', u'end', u'wing', u'tip', u'cockpit']"
60,"We knew the total wingspread was 110 feet, so one side of the wing was 55 feet.",3.97,3.8271428571428574,1.2299148247705922,7 out of 8,"[(u'know', 1.68), (u'total', 2.8), (u'foot', 4.9), (u'one', 3.97), (u'side', 3.68), (u'wing', 4.86), (u'foot', 4.9)]","[u'know', u'total', u'wingspread', u'foot', u'one', u'side', u'wing', u'foot']"
61,"I was co-pilot; Russell ""Scotty"" Scott was the pilot.",4.67,4.67,N/A,1 out of 4,"[(u'pilot', 4.67)]","[u'russell', u'scotty', u'scott', u'pilot']"
62,We looked at each other.,2.96,2.96,N/A,1 out of 1,"[(u'look', 2.96)]",[u'look']
63,We both knew what that meant.,2.09,2.09,0.579827560572969,2 out of 2,"[(u'know', 1.68), (u'mean', 2.5)]","[u'know', u'mean']"
64,We had to reach 120 miles an hour to take off.,3.365,3.3725,0.3393498686213586,4 out of 4,"[(u'reach', 3.7), (u'mile', 3.63), (u'hour', 3.1), (u'take', 3.06)]","[u'reach', u'mile', u'hour', u'take']"
65,Every flight school instructor had drilled us to remember that 60 miles an hour equals 88 feet per second.,3.59,3.446923076923077,1.0081450343360376,13 out of 13,"[(u'every', 2.28), (u'flight', 3.9), (u'school', 4.79), (u'instructor', 4.26), (u'drill', 4.4), (u'us', 3.59), (u'remember', 2.41), (u'mile', 3.63), (u'hour', 3.1), (u'equal', 2.56), (u'foot', 4.9), (u'per', 1.69), (u'second', 3.3)]","[u'every', u'flight', u'school', u'instructor', u'drill', u'us', u'remember', u'mile', u'hour', u'equal', u'foot', u'per', u'second']"
66,So we'd have to be going 176 feet per second to get this 30-odd tons of bombs and gasoline into the air.,4.11,3.6955555555555555,1.1409328541933472,9 out of 9,"[(u'go', 3.15), (u'foot', 4.9), (u'per', 1.69), (u'second', 3.3), (u'get', 2.38), (u'ton', 4.17), (u'bomb', 4.84), (u'gasoline', 4.72), (u'air', 4.11)]","[u'go', u'foot', u'per', u'second', u'get', u'ton', u'bomb', u'gasoline', u'air']"
67,"If anything went wrong on takeoff when we could only see 40 feet ahead in the milky soup, we'd have less than a quarter of a second to react.",3.1799999999999997,3.1078571428571427,1.1111267917086454,14 out of 14,"[(u'anything', 1.38), (u'go', 3.15), (u'wrong', 1.83), (u'takeoff', 3.41), (u'could', 1.34), (u'see', 3.21), (u'foot', 4.9), (u'ahead', 3.0), (u'milky', 3.52), (u'soup', 4.72), (u'less', 2.77), (u'quarter', 4.43), (u'second', 3.3), (u'react', 2.55)]","[u'anything', u'go', u'wrong', u'takeoff', u'could', u'see', u'foot', u'ahead', u'milky', u'soup', u'less', u'quarter', u'second', u'react']"
68,"But we went ahead with the preflight checks, plugging in our electrically heating flying suits, checking the oxygen masks, running up each of the four engines in turn to make sure we could rely on it.",3.55,3.4995,1.106504572254924,20 out of 20,"[(u'go', 3.15), (u'ahead', 3.0), (u'preflight', 2.31), (u'check', 4.11), (u'plug', 4.64), (u'electrically', 3.0), (u'heat', 3.79), (u'fly', 4.64), (u'suit', 4.97), (u'check', 4.11), (u'oxygen', 3.66), (u'mask', 4.96), (u'run', 4.31), (u'four', 3.37), (u'engine', 4.86), (u'turn', 3.44), (u'make', 2.67), (u'sure', 1.73), (u'could', 1.34), (u'rely', 1.93)]","[u'go', u'ahead', u'preflight', u'check', u'plug', u'electrically', u'heat', u'fly', u'suit', u'check', u'oxygen', u'mask', u'run', u'four', u'engine', u'turn', u'make', u'sure', u'could', u'rely']"
69,"We were due to be the third ship to taxi out, one of three ""lead"" planes on which all the others would gather to make the giant box formations supposed to keep German fighters at bay.",3.79,3.585555555555556,1.1837041672460038,18 out of 20,"[(u'due', 3.21), (u'third', 3.44), (u'ship', 4.87), (u'taxi', 4.93), (u'one', 3.97), (u'three', 3.62), (u'lead', 4.1), (u'plane', 4.92), (u'would', 1.12), (u'gather', 2.75), (u'make', 2.67), (u'giant', 4.3), (u'box', 4.9), (u'formation', 3.23), (u'suppose', 1.37), (u'keep', 2.37), (u'fighter', 3.96), (u'bay', 4.81)]","[u'due', u'third', u'ship', u'taxi', u'one', u'three', u'lead', u'plane', u'others', u'would', u'gather', u'make', u'giant', u'box', u'formation', u'suppose', u'keep', u'german', u'fighter', u'bay']"
70,"Our jobs were to go off first, then circle high in the sky while the others moved into formation behind us.",3.355,3.5,0.5474993658037932,10 out of 11,"[(u'job', 3.19), (u'go', 3.15), (u'first', 2.76), (u'circle', 4.44), (u'high', 3.46), (u'sky', 4.45), (u'move', 3.25), (u'formation', 3.23), (u'behind', 3.48), (u'us', 3.59)]","[u'job', u'go', u'first', u'circle', u'high', u'sky', u'others', u'move', u'formation', u'behind', u'us']"
